Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Rohit Collection,"114/2, North, Musakhedi, Indore, Madhya Pradesh 452001",114/2,"North, Musakhedi","Men's clothing store,Clothing store,Uniform store",096692 66663,"096692 66663, +91 96692 66663",YES,126,4.1,https://search.google.com/local/reviews?placeid=ChIJCyNmXtL8YjkRX8CmJl3ZFyA&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2312555927781687391,22.693892899999998,75.89643439999999,,,"Wednesday:[10 am–8:30 pm], Thursday:[10 am–8:30 pm], Friday:[10 am–8:30 pm], Saturday:[10 am–8:30 pm], Sunday:[10 am–8:30 pm], Monday:[10 am–8:30 pm], Tuesday:[10 am–8:30 pm]",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEaPreTRyk_oUHiVon1yz8PqTDR76B5MAGjy1xRxTFyrzXBkKvXkwe25CTKzds6oOoWrgy0C8CV_AQVs4OJtaHTtmcSjFBvLTsrsV8nS6lFsyjdjrAjz-O5N9kjyC82emGo63f9ZJdFfBvjZ2KxvwzdNI83trqcuj6EZaXeZxbkJsmz1lLZr1RdSp4Tma1VAsHz6Xg=w163-h92-k-no,2312555927781687391,ChIJCyNmXtL8YjkRX8CmJl3ZFyA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Dream Boutique,"Gali Number 14, near Pushpakunj School, Mayur Nagar, Musakhedi, Indore, Madhya Pradesh 452001",Gali Number 14,near Pushpakunj School,Boutique,078040 75530,"078040 75530, +91 78040 75530",YES,,,,https://www.google.com/maps?cid=13957668073550874587,22.692477399999998,75.905878,,,"Wednesday:[9 am–10 pm], Thursday:[9 am–10 pm], Friday:[9 am–10 pm], Saturday:[9 am–10 pm], Sunday:[9 am–10 pm], Monday:[9 am–10 pm], Tuesday:[9 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3qnoRDAxtz3VCTE9_ZAom5e5oWDeJRhgrLiTNIi3t6QyKG6k2jp4KtVhjRHFYIVXdavTxDPRQ8KTxRsPSi37tUab5BHrRVj4thZ_5iiKmCmgfZOnsVE-oz36UawC3sRK5yOjqrvRDtaaW=w138-h92-k-no,13957668073550874587,ChIJdSnoig7jYjkR24fPeCmZs8E,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Dolly Boutique,"Alkapuri Colony, Musakhedi, Indore, Madhya Pradesh 452001","Alkapuri Colony, Musakhedi","Indore, Madhya Pradesh 452001",Store,081200 85692,"081200 85692, +91 81200 85692",YES,6,5,https://search.google.com/local/reviews?placeid=ChIJRd4NgNH8YjkR_vGzRo8YHl8&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6853942686550061566,22.694623999999997,75.8939619,,,"Wednesday:[12–8 am], Thursday:[12–8 am], Friday:[12–8 am], Saturday:[12–8 am], Sunday:[12–8 am], Monday:[12–6 am], Tuesday:[12–8 am]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpBeH34LCHz-P2djCZAVYID6hmqVEq_KzeNXh5pXpOV7Yrtm8_Mj2t0-bS9seg4mvEx8IXHSN0IF0D6HW-04hEP0jThnCxfVVyZXM8jbE5RQhGjQdOoVEQYQQ5eaCgOYlGkme38g=w122-h92-k-no,6853942686550061566,ChIJRd4NgNH8YjkR_vGzRo8YHl8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Anvi Boutique,"243/4-A, Mayur Nagar, Musakhedi, Indore, Madhya Pradesh 452001",243/4-A,"Mayur Nagar, Musakhedi",Women's clothing store,3t9NaozPCbWWseMPjYjt8Qs,,YES,1,1,https://search.google.com/local/reviews?placeid=ChIJPYpkzFjjYjkRqHCyEgsBmX4&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9122323667285602472,22.6943181,75.902689,,,"Wednesday:[9 am–8 pm], Thursday:[9 am–8 pm], Friday:[9 am–8 pm], Saturday:[9 am–8 pm], Sunday:[Closed], Monday:[9 am–8 pm], Tuesday:[9 am–8 pm]",,9122323667285602472,ChIJPYpkzFjjYjkRqHCyEgsBmX4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
G k fashion girls wear musakhedi main road indore,"plot no, 125, Musakhedi Main Rd, New Panchsheel Colony, Panchshil Nagar, Musakhedi, Indore, Madhya Pradesh 452001",plot no,"125, Musakhedi Main Rd",Women's clothing store,099260 14333,"099260 14333, +91 99260 14333",NO,24,3.3,https://search.google.com/local/reviews?placeid=ChIJk7RsjtL8YjkRw0BZiiRZKF4&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6784770852108452035,22.6932536,75.8974266,,,"Wednesday:[9:30 am–9:30 pm], Thursday:[9:30 am–9:30 pm], Friday:[9:30 am–9:30 pm], Saturday:[9:30 am–9:30 pm], Sunday:[9:30 am–9:30 pm], Monday:[9:30 am–9:30 pm], Tuesday:[9:30 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFc9mOSMPDb9WnHAmRNV8ip6Ea48aVSzcIstoR9BcvUjeHB_zbOJq3s4AneFO5t-1PtQXloMJMHn7hLXvp4YsGR9qW9fZEGMLYsJYeNHMo3RpYXvLfUyMMYCuMZzwdiRzO-wCkonw=w122-h92-k-no,6784770852108452035,ChIJk7RsjtL8YjkRw0BZiiRZKF4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
NAKODA'S BOUTIQUE,"17, Kanchan Bagh, Indore, Madhya Pradesh 452001",17,Kanchan Bagh,"Boutique,Designer Clothing Store",081090 31521,"081090 31521, +91 81090 31521",YES,650,4.2,https://search.google.com/local/reviews?placeid=ChIJJ8HDO6H9YjkRTzj5K6gFMl8&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6859551402289084495,22.7200478,75.8826514,http://www.nakodasboutique.com/,nakodasboutique.com,"Wednesday:[11 am–8:30 pm], Thursday:[11 am–8:30 pm], Friday:[11 am–8:30 pm], Saturday:[11 am–8:30 pm], Sunday:[11 am–8 pm], Monday:[11 am–8:30 pm], Tuesday:[11 am–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGLJa_QymPZg2j_dUuouR_NokujTtgaJn5_PH_XL1CdG1F331sjHAiPv8h1VM4r3v8mFb22KV99BjiszKZhgyZpm1uSbnLP2kfSpUTSbspSDlPWzBtiE1UxOQY5LGf4IUPcOUOZg=w137-h92-k-no,6859551402289084495,ChIJJ8HDO6H9YjkRTzj5K6gFMl8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Aati Baba Fashion,"Musakhedi Main Rd, Mayur Nagar, Musakhedi, Indore, Madhya Pradesh 452001",Musakhedi Main Rd,"Mayur Nagar, Musakhedi",Clothing store,091659 00162,"091659 00162, +91 91659 00162",YES,10,4.9,https://search.google.com/local/reviews?placeid=ChIJb6MHzb7jYjkRhD7MVmO0LvA&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17306968756782382724,22.6936802,75.9046828,,,"Wednesday:[10:15 am–10 pm], Thursday:[10:15 am–10 pm], Friday:[10:15 am–10 pm], Saturday:[10:15 am–10 pm], Sunday:[10:15 am–10 pm], Monday:[10:15 am–10 pm], Tuesday:[10:15 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeiF1-QZuYPMmBS7FVT8n0bMO4olAMKKmrtPKfm_eGICUFwAf_N8btu9fAMmXAPWpU9SpfE6Me44gi8-XcneHpVobDbdCsTqPfgccOwbufl1iZUobSfADrsVlklIx0KaRc2B406Q=w80-h121-k-no,17306968756782382724,ChIJb6MHzb7jYjkRhD7MVmO0LvA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Designer Boutique,"Lane no 4, Mayur Nagar, Musakhedi, Indore, Madhya Pradesh 452001",Lane no 4,"Mayur Nagar, Musakhedi",Fashion designer,3t9NaozPCbWWseMPjYjt8Qs,,YES,,,,https://www.google.com/maps?cid=10056279013446539567,22.694312999999998,75.90266,,,"Wednesday:[9 am–6 pm], Thursday:[9 am–6 pm], Friday:[9 am–6 pm], Saturday:[9 am–6 pm], Sunday:[9 am–6 pm], Monday:[9 am–6 pm], Tuesday:[9 am–6 pm]",,10056279013446539567,ChIJlwcGY1vjYjkRL1mydnsUj4s,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Musakhedi, indore","193, Musakhedi Main Rd, Jagdishpuri, Musakhedi, Indore, Madhya Pradesh 452001","193, Musakhedi Main Rd","Jagdishpuri, Musakhedi",Clothing store,3t9NaozPCbWWseMPjYjt8Qs,,NO,4,5,https://search.google.com/local/reviews?placeid=ChIJZdEcPgD9YjkRfhohGpULoOM&q=boutiques+in+musakhedi++indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16402122577899756158,22.6970089,75.8915471,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YsXMQ0lUhvZQeh7Mf5F5pg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=231.22493&pitch=0&thumbfov=100,16402122577899756158,ChIJZdEcPgD9YjkRfhohGpULoOM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Saloni boutique,"Jagdish puri Colony, 103/3, Musakhedi Main Rd, near Prajapati Cycle Store, Musakhedi, Indore, Madhya Pradesh 452001",Jagdish puri Colony,"103/3, Musakhedi Main Rd",Tailor,3t9NaozPCbWWseMPjYjt8Qs,,NO,,,,https://www.google.com/maps?cid=14791372793265549349,22.6964397,75.8915547,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RXd24jBIw18dYQraQ0vDKg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=103.81148&pitch=0&thumbfov=100,14791372793265549349,ChIJu-dvOQD9YjkRJXD4-i-DRc0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
