Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"GuruKripa Boutique, Gurukripa Fashion Studio Indore","9, Manik Bagh Rd, Nai Duniya, Rajmahal Colony, Indore, Madhya Pradesh 452007","9, Manik Bagh Rd","Nai Duniya, Rajmahal Colony",Boutique,097532 60610,"097532 60610, +91 97532 60610",YES,18,4.6,https://search.google.com/local/reviews?placeid=ChIJmZoZTFX8YjkRqbBFLL9UPbk&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13347918050654269609,22.699048899999998,75.8517134,https://instagram.com/gurukripafashionstudio?igshid=YmMyMTA2M2Y=,instagram.com,"Wednesday:[11:30 am–9:30 pm], Thursday:[11:30 am–9:30 pm], Friday:[11:30 am–9:30 pm], Saturday:[11:30 am–9:30 pm], Sunday:[11:30 am–9:30 pm], Monday:[11:30 am–9:30 pm], Tuesday:[11:30 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_7uaMXPZbQVATZFgW9dTZRw8-wtvzQcMA7FyWk-Ufax9OBaXud2KwpcF4riKxeVlGRE_4h-MLxgjOIbs_dSBGTp3pskuZLJo_AuNTXi346LBWLQZGyILU77fwc6t58RdFoE5Y4-C7tfwp=w80-h106-k-no,13347918050654269609,ChIJmZoZTFX8YjkRqbBFLL9UPbk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Aayza butiq,"Noori Colony, 9, Manik Bagh Rd, Gulzar Colony, Indore, Madhya Pradesh 452017",Noori Colony,"9, Manik Bagh Rd",Boutique,062600 90919,"062600 90919, +91 62600 90919",YES,1,5,https://search.google.com/local/reviews?placeid=ChIJibEo6WX9YjkRnUhw-nKbtio&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3077818313484552349,22.6961709,75.8526919,https://aayza-butiq.grexa.site/,aayza-butiq.grexa.site,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoSMG3BJLtGKyONHA7PHE0B2A6mwUMWcyypWIlW3T770y9Qlz7qfObU8Mr5xPf9FuL7tixjOfpz6APsz62LK2y2S9rM7Zj1xTH-X7GdZnS85eCbpcJ6Kl8u7kNgwVzRBpF3gbGbgIo53La=w80-h100-k-no,3077818313484552349,ChIJibEo6WX9YjkRnUhw-nKbtio,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vasu Designer,"4, Manik Bagh Rd, Nai Duniya, Pratap Nagar, Roop Ram Nagar, Indore, Madhya Pradesh 452007","4, Manik Bagh Rd","Nai Duniya, Pratap Nagar, Roop Ram Nagar","Women's clothing store,Clothing store,Clothing Accessories Store,Lingerie wholesaler",od5NatGJI6OXwcsPm8LUoQU,,YES,76,4.6,https://search.google.com/local/reviews?placeid=ChIJRcJ6AML9YjkRIUMLUHYFkSQ&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2634893262695645985,22.7053123,75.8553246,https://www.vasudesigner.com/,vasudesigner.com,"Wednesday:[12–10 pm], Thursday:[12–10 pm], Friday:[12–10 pm], Saturday:[12–9 pm], Sunday:[2–9 pm], Monday:[12–10 pm], Tuesday:[12–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7tG_u2XFhhAy9ztgjvomIOioA3dqRSTTmA-zQjSd1tHFeXz3E41Rmt3jG2GYmWQJabWYkygWpQ5uOy_KlfkahBxYf16wGWma13KLWE6yBarjrEFl_t4JQVcGcqiFzBJXLC_Q=w163-h92-k-no,2634893262695645985,ChIJRcJ6AML9YjkRIUMLUHYFkSQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vaibhav Boutique,"Ram Baug, 205, Tilak Path Rd, Tilak Path, Chauraha, Indore, Madhya Pradesh 452001",Ram Baug,"205, Tilak Path Rd",Boutique,099260 92700,"099260 92700, +91 99260 92700",YES,328,4.9,https://search.google.com/local/reviews?placeid=ChIJoTd_PHT9YjkR5f5k2rMdpCo&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3072613504073924325,22.7221106,75.8570572,,,"Wednesday:[10 am–9 pm], Thursday:[10 am–9 pm], Friday:[10 am–9 pm], Saturday:[10 am–9 pm], Sunday:[Closed], Monday:[10 am–9 pm], Tuesday:[10 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGRajpgQzfPzUTZQZBwcVPiMebdesA0vD40PfEqsxMTvReeiwiplZ-vJdmCsNNNLiJGG9SFDxiEyRY7ekkuIKD2PjON4PJB12eIzjyR8U8N8tEIUfrYGuRqIRbcGrpOAvxXR_yvdXg5lhn=w80-h106-k-no,3072613504073924325,ChIJoTd_PHT9YjkR5f5k2rMdpCo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Desire the boutique,"Plot 1, Ashoka apartment, Nai Duniya, Rajmahal Colony, Indore, Madhya Pradesh 452007",Plot 1,Ashoka apartment,Fashion designer,098273 87650,"098273 87650, +91 98273 87650",YES,14,4.8,https://search.google.com/local/reviews?placeid=ChIJedR9n1f9YjkR2Th2Xf5tiQ8&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1119546921635428569,22.6992725,75.8525435,,,"Wednesday:[11:30 am–8:30 pm], Thursday:[11:30 am–8:30 pm], Friday:[11:30 am–8:30 pm], Saturday:[11:30 am–8:30 pm], Sunday:[Closed], Monday:[11:30 am–8:30 pm], Tuesday:[11:30 am–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgL5P49mLspIh6YImhwkTqW_r6mZtfPVhx1boxfNPOIGqcZFbY5X-RFkb6-UfhELHhZE_dOUipkLoMgimlAc74ISvGG0qD0EjoBzlGNjw-lHgVUCIs5s-VYJQhPjV3UkSTDFxdXg=w80-h175-k-no,1119546921635428569,ChIJedR9n1f9YjkR2Th2Xf5tiQ8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Pehnawa boutique and creations,"61-A rajmahal colony, near manik bag road, near mehidpurwala, Indore, Madhya Pradesh 452007",61-A rajmahal colony,near manik bag road,Boutique,099777 33856,"099777 33856, +91 99777 33856",YES,20,4.8,https://search.google.com/local/reviews?placeid=ChIJteXlcxn9YjkR_J70CHkXDto&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15712521958550970108,22.6979988,75.85055559999999,,,"Wednesday:[11 am–8 pm], Thursday:[11 am–8 pm], Friday:[11 am–8 pm], Saturday:[11 am–8 pm], Sunday:[1–8 pm], Monday:[11 am–8 pm], Tuesday:[11 am–8 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKd2j6JWkoOnAaTYDV6QC6egCyoeG-8vH5D1N8nx6t25vX4Q3rgJ3kTXr2w57hl2FU7NNYDctokO-R7PvFIRM01-Kl5DUh-PL2CO_NCkyQfgkTJzkr0jMYnnjZSo5n0G4ELb77hw=w93-h92-k-no,15712521958550970108,ChIJteXlcxn9YjkR_J70CHkXDto,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SHE'S FASHION,"A-4, Manav Height, 74, Manik Bagh Rd, Prem Nagar, Nai Duniya, Prem Nagar, Indore, Madhya Pradesh 452007",A-4,Manav Height,"Designer Clothing Store,Boutique",090399 04128,"090399 04128, +91 90399 04128",YES,15,3.2,https://search.google.com/local/reviews?placeid=ChIJXUI8oVj9YjkR1AAbACcqJYk&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9882351304328282324,22.7017001,75.8549535,,,"Wednesday:[12–10:30 pm], Thursday:[12–10:30 pm], Friday:[12–10:30 pm], Saturday:[12–10:30 pm], Sunday:[2–8:30 pm], Monday:[12–10:30 pm], Tuesday:[12–10:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGs1sEbm9_OazcLW0flsVyhRob2lPfF-UvZnKppcbx8SZnGzf6y9ufFr9UwPtXhVr0DoGMftBGSxj1F0FOx1eVaisS8b3aUz358Xml2Z3uEQ8JU0b_6rX5zoc_vjRSYvJIDSeF0BA=w163-h92-k-no,9882351304328282324,ChIJXUI8oVj9YjkR1AAbACcqJYk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Chandni Boutique,"31/22, Narendra Tiwari Marg, near bank of india (BOI, Bank Colony, Indore, Madhya Pradesh 452009","31/22, Narendra Tiwari Marg",near bank of india (BOI,"Boutique,Clothing alteration service",098270 22566,"098270 22566, +91 98270 22566",YES,22,4.7,https://search.google.com/local/reviews?placeid=ChIJIepNRLT9YjkRW0EhHsK36U4&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5686278048888996187,22.693817,75.8378682,,,"Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–10 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEI-7BZP3k2L5lhVikzKWpXr2rjArX0ETyHY_g0YxTzuDq4dPm2XbKAqJaI9diRIHtNw2yYxyZzeeEIf4bZbwZSnek0N7YIbOmmAu9Y4KAbEKhvCBdAjxsJL4SFgmyRGouecVUfag=w122-h92-k-no,5686278048888996187,ChIJIepNRLT9YjkRW0EhHsK36U4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Pooja Selection boutique,"Shop No 4, Triveni complex, Manik Bagh Rd, near BRIDGE, Nai Duniya, Triveni Colony, Indore, Madhya Pradesh 452007",Shop No 4,Triveni complex,Boutique,070000 96667,"070000 96667, +91 70000 96667",YES,1,5,https://search.google.com/local/reviews?placeid=ChIJCcb6og39YjkRZryIXwyy-Hg&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8716912844987743334,22.699397899999997,75.8521272,,,"Wednesday:[12–9 pm], Thursday:[12–9 pm], Friday:[12–9 pm], Saturday:[12–9 pm], Sunday:[12–9 pm], Monday:[12–9 pm], Tuesday:[12–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXsNNIl1WJ4fMKVqsadwOmEJuRTsiD9lTDxZFvmOMgsfmMFK8X4OPVXWlVZD9aZ7oN5yqucQc7G5ArA18g_-VpuxgjT7TfK0RuDhUY2jvA-qZRrRK4D6Q9iwmno9a2yJrecP2r=w163-h92-k-no,8716912844987743334,ChIJCcb6og39YjkRZryIXwyy-Hg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Fashion Today Men's Boutique,"2nd Floor, Infront of Sbi bank, Gordhan Plaza, 35, Sitlamata Bazar, Indore, Madhya Pradesh 452002","2nd Floor, Infront of Sbi bank, Gordhan Plaza",35,Clothing store,088398 50789,"088398 50789, +91 88398 50789",YES,18,5,https://search.google.com/local/reviews?placeid=ChIJ2URQA2_9YjkRIEJ7qt1s70I&q=boutiques+in+manikbagh+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4823193425240867360,22.717935,75.8497123,,,"Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–10 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWaErjDJliR7Xp6jrYnNpLUajDxLnmngSMwYAFMioPaA1GJ3iKtx6ZRi1ieryFA6mx0u8gGnV4onfyGnOHBnufHSgJdrNftOFd7ObN_JqmQBwlAnfsgzdJ4P_spwvsDx1vvDfhTIlfWMFX=w122-h92-k-no,4823193425240867360,ChIJ2URQA2_9YjkRIEJ7qt1s70I,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
