Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"GuruKripa Boutique, Gurukripa Fashion Studio Indore","9, Manik Bagh Rd, Nai Duniya, Rajmahal Colony, Indore, Madhya Pradesh 452007","9, Manik Bagh Rd","Nai Duniya, Rajmahal Colony",Boutique,097532 60610,"097532 60610, +91 97532 60610",YES,18,4.6,https://search.google.com/local/reviews?placeid=ChIJmZoZTFX8YjkRqbBFLL9UPbk&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13347918050654269609,22.699048899999998,75.8517134,https://instagram.com/gurukripafashionstudio?igshid=YmMyMTA2M2Y=,instagram.com,"Wednesday:[11:30 am–9:30 pm], Thursday:[11:30 am–9:30 pm], Friday:[11:30 am–9:30 pm], Saturday:[11:30 am–9:30 pm], Sunday:[11:30 am–9:30 pm], Monday:[11:30 am–9:30 pm], Tuesday:[11:30 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_7uaMXPZbQVATZFgW9dTZRw8-wtvzQcMA7FyWk-Ufax9OBaXud2KwpcF4riKxeVlGRE_4h-MLxgjOIbs_dSBGTp3pskuZLJo_AuNTXi346LBWLQZGyILU77fwc6t58RdFoE5Y4-C7tfwp=w80-h106-k-no,13347918050654269609,ChIJmZoZTFX8YjkRqbBFLL9UPbk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Aayza butiq,"Noori Colony, 9, Manik Bagh Rd, Gulzar Colony, Indore, Madhya Pradesh 452017",Noori Colony,"9, Manik Bagh Rd",Boutique,062600 90919,"062600 90919, +91 62600 90919",YES,1,5,https://search.google.com/local/reviews?placeid=ChIJibEo6WX9YjkRnUhw-nKbtio&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3077818313484552349,22.6961709,75.8526919,https://aayza-butiq.grexa.site/,aayza-butiq.grexa.site,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoSMG3BJLtGKyONHA7PHE0B2A6mwUMWcyypWIlW3T770y9Qlz7qfObU8Mr5xPf9FuL7tixjOfpz6APsz62LK2y2S9rM7Zj1xTH-X7GdZnS85eCbpcJ6Kl8u7kNgwVzRBpF3gbGbgIo53La=w80-h100-k-no,3077818313484552349,ChIJibEo6WX9YjkRnUhw-nKbtio,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
L.S.DESIGNER BOUTIQUE,"208 KHATIWALA TANK OPP.BAIRATHI COLONY GURUDWARA, Indore, Madhya Pradesh 452014",208 KHATIWALA TANK OPP.BAIRATHI COLONY GURUDWARA,"Indore, Madhya Pradesh 452014",Boutique,089827 55202,"089827 55202, +91 89827 55202",NO,6,3.7,https://search.google.com/local/reviews?placeid=ChIJcV7BmwL9YjkRFAP3eTq-YSk&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2981873586659590932,22.7005812,75.8617553,,,"Wednesday:[11 am–10:30 pm], Thursday:[11 am–10:30 pm], Friday:[11 am–10:30 pm], Saturday:[11 am–10:30 pm], Sunday:[Closed], Monday:[11 am–10:30 pm], Tuesday:[11 am–10:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_BjJvSIOVaFIjaDaMsyxPEBnynDe2gwO5AGgO5aOzfmnIwM7oHvm2nt3jXHTqtgahxZyq8XFm3mHk6ssd-ERuRsPrmY5UJK7NBdaC_wwSUi_nbDFkQ_OnWf9MF7p51GpEipFs=w80-h120-k-no,2981873586659590932,ChIJcV7BmwL9YjkRFAP3eTq-YSk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
STYLDORM,"75 IDA, Manik Bagh Rd, Scheme 102, Gulzar Colony, Indore, Madhya Pradesh 452014","75 IDA, Manik Bagh Rd","Scheme 102, Gulzar Colony","Women's clothing store,Clothing Accessories Store",091098 01557,"091098 01557, +91 91098 01557",YES,17,4.9,https://search.google.com/local/reviews?placeid=ChIJX_gn-9P9YjkRVDp4eNjZAY0&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10160641758081858132,22.6980754,75.85463519999999,,,"Wednesday:[11:30 am–8:30 pm], Thursday:[11:30 am–8:30 pm], Friday:[11:30 am–8:30 pm], Saturday:[11:30 am–8:30 pm], Sunday:[Closed], Monday:[11:30 am–8:30 pm], Tuesday:[11:30 am–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEljYyaVCZfB_uu6O_18Y3S5rnAvjhbNwR8z0rjy4XIdi7oLID3uPt2yBelm4MfMGqvNCa9fqIIR-g7OABnoXV_LbpDBo1CtpNZ2wwqohKoF7U5bWDg_B8nqsC7pa0daYqPetR5=w138-h92-k-no,10160641758081858132,ChIJX_gn-9P9YjkRVDp4eNjZAY0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Manoram Boutique,"76 A, Vaishali Nagar, Indore, Madhya Pradesh 452009",76 A,Vaishali Nagar,Boutique,et5NasnEOdGOseMP1KGH-QY,,YES,49,4.8,https://search.google.com/local/reviews?placeid=ChIJT5614Eb8YjkR92OGKkT2AlI&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5909556433695171575,22.6819769,75.8333621,,,"Wednesday:[10:30 am–9 pm], Thursday:[10:30 am–9 pm], Friday:[10:30 am–9 pm], Saturday:[10:30 am–9 pm], Sunday:[Closed], Monday:[10:30 am–9 pm], Tuesday:[10:30 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEevv9TNFEDwSkyqiHM2pyeUvcpXRWKm_9rRsrwaMiHXdqPbTSpeDkb1DNSJda6VyqaiEgD235BZnYcksTpGCsYT54esUCqvIZxY-mNr9kbTW555cUYss_uhc8hDK62n4f0x7Q=w80-h144-k-no,5909556433695171575,ChIJT5614Eb8YjkR92OGKkT2AlI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Chandni Boutique,"31/22, Narendra Tiwari Marg, near bank of india (BOI, Bank Colony, Indore, Madhya Pradesh 452009","31/22, Narendra Tiwari Marg",near bank of india (BOI,"Boutique,Clothing alteration service",098270 22566,"098270 22566, +91 98270 22566",YES,22,4.7,https://search.google.com/local/reviews?placeid=ChIJIepNRLT9YjkRW0EhHsK36U4&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5686278048888996187,22.693817,75.8378682,,,"Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–10 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEI-7BZP3k2L5lhVikzKWpXr2rjArX0ETyHY_g0YxTzuDq4dPm2XbKAqJaI9diRIHtNw2yYxyZzeeEIf4bZbwZSnek0N7YIbOmmAu9Y4KAbEKhvCBdAjxsJL4SFgmyRGouecVUfag=w122-h92-k-no,5686278048888996187,ChIJIepNRLT9YjkRW0EhHsK36U4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
gulzar Boutique,"Fakhruddin Market, 6, satha bazar, Santha Bazar, Santha Bazaar, Bartan Bazar, Indore, Madhya Pradesh 452002",Fakhruddin Market,"6, satha bazar",Boutique,073893 11990,"073893 11990, +91 73893 11990",YES,2,4.5,https://search.google.com/local/reviews?placeid=ChIJnVFpS3b9YjkR4vnmq6dbUwE&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=95520792806619618,22.7161205,75.8506611,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5OCUIR130UW0-AHCNgb8_A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=174.16252&pitch=0&thumbfov=100,95520792806619618,ChIJnVFpS3b9YjkR4vnmq6dbUwE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vaibhav Boutique,"Ram Baug, 205, Tilak Path Rd, Tilak Path, Chauraha, Indore, Madhya Pradesh 452001",Ram Baug,"205, Tilak Path Rd",Boutique,099260 92700,"099260 92700, +91 99260 92700",YES,328,4.9,https://search.google.com/local/reviews?placeid=ChIJoTd_PHT9YjkR5f5k2rMdpCo&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3072613504073924325,22.7221106,75.8570572,,,"Wednesday:[10 am–9 pm], Thursday:[10 am–9 pm], Friday:[10 am–9 pm], Saturday:[10 am–9 pm], Sunday:[Closed], Monday:[10 am–9 pm], Tuesday:[10 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGRajpgQzfPzUTZQZBwcVPiMebdesA0vD40PfEqsxMTvReeiwiplZ-vJdmCsNNNLiJGG9SFDxiEyRY7ekkuIKD2PjON4PJB12eIzjyR8U8N8tEIUfrYGuRqIRbcGrpOAvxXR_yvdXg5lhn=w80-h106-k-no,3072613504073924325,ChIJoTd_PHT9YjkR5f5k2rMdpCo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Pinak by Fashion Street,"93/2, B.k. Sindhi Colony,, Opp. Garden Sabji Mandi,indore, Indore, Madhya Pradesh 452001","93/2, B.k. Sindhi Colony,","Opp. Garden Sabji Mandi,indore","Women's clothing store,Clothing store,Western apparel store",094240 59129,"094240 59129, +91 94240 59129",YES,13,4.5,https://search.google.com/local/reviews?placeid=ChIJOas2lQL9YjkR3Lu5bfyKGdk&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15643687597425408988,22.701486,75.863614,,,"Wednesday:[11 am–9 pm], Thursday:[11 am–9 pm], Friday:[11 am–9 pm], Saturday:[11 am–10 pm], Sunday:[11 am–9 pm], Monday:[11 am–9 pm], Tuesday:[11 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfYiRwr4uarAyA8AMSe_S_pUVHP5NmXRtxex9tCVmIvATNa3x0xjo-G7pwJ8R0ZI0GHbWTzwzZ9rtuZd7tvvbXpYohjYxYOzPRF050AIqj4N5mnTXorthMde_WIhsXOLy0iujq=w80-h142-k-no,15643687597425408988,ChIJOas2lQL9YjkR3Lu5bfyKGdk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Krishna Fashion & Boutique,"28/2 Bk Sindi Colony Street No 2 Opposiite Rs Resturant, near Sp Kirana And Atta Chakki, Indore, Madhya Pradesh 452001",28/2 Bk Sindi Colony Street No 2 Opposiite Rs Resturant,near Sp Kirana And Atta Chakki,Women's clothing store,079990 01457,"079990 01457, +91 79990 01457",YES,30,3.2,https://search.google.com/local/reviews?placeid=ChIJycIirgL9YjkRk6AYCvJIDBg&q=boutiques+in+gulzar+colony+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1732840161019469971,22.7010443,75.8641109,,,"Wednesday:[12–10 pm], Thursday:[12–10 pm], Friday:[12–10 pm], Saturday:[12–10 pm], Sunday:[12–10 pm], Monday:[12–10 pm], Tuesday:[12–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL-xKu2V38H93aHB8m8UAD4ydjzjazIeiUB7Sxss7dskniGLlcwc_oF9KTfhsJlFRh_5HhtyzWDlZv73PtEr1FTMRSUTYDkbJ-7CE0yrYoLOpquDZGWnCLtPXD1aIr0m8fLlRDqA=w122-h92-k-no,1732840161019469971,ChIJycIirgL9YjkRk6AYCvJIDBg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
